File,Type,Size(Bytes),LastModified,Source
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/dr/android_system_properties,data,1490,2025-12-15 12:57:56.420000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/es/anes,data,2857,2025-12-15 12:55:38.272000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ba/se/base64,data,25421,2025-11-25 01:29:17.211673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ba/se/base64-simd,data,7870,2025-12-15 12:57:56.276000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ba/se/base64ct,data,9803,2025-12-15 12:58:29.856000455 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ba/se/base16ct,data,996,2025-12-15 12:58:31.208000455 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ba/ck/backon,data,36346,2025-12-15 12:55:37.636000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ba/ck/backoff,data,11096,2025-12-15 12:58:21.728000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ba/ck/backtrace,data,198730,2025-12-15 12:58:21.912000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/by/te/bytesize,data,12955,2025-11-25 01:29:17.211673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/by/te/bytes,data,27196,2025-11-26 18:52:39.527759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/by/te/byteorder,data,23451,2025-11-26 18:52:40.951759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/by/te/bytemuck,data,29511,2025-12-15 12:55:09.580000443 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/by/te/bytes-utils,data,3873,2025-12-15 12:57:56.280000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/by/te/byteorder-lite,data,485,2025-12-15 12:58:21.676000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/by/te/bytecount,data,14901,2025-12-15 13:05:07.112000478 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/rg/cargo-config2,data,84965,2025-11-25 01:29:17.215673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/rg/cargo-options,data,10015,2025-11-25 01:29:17.219673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/rg/cargo-xwin,data,126810,2025-11-25 01:29:17.223673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/rg/cargo-zigbuild,data,169668,2025-11-25 01:29:17.231673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/rg/cargo_metadata,data,66932,2025-11-25 01:29:17.235673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/rg/cargo-platform,data,3854,2025-11-26 18:52:38.687759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/mi/camino,data,14839,2025-11-26 18:52:38.687759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/st/cast,data,3818,2025-12-15 12:55:38.272000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/st/castaway,data,2482,2025-12-15 12:58:21.700000454 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/ca/ss/cassowary,data,670,2025-12-15 12:57:56.048000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cb/in/cbindgen,data,127628,2025-11-25 01:29:17.243673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/2/cc,data,112693,2025-11-25 01:29:17.247673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/2/h2,data,221978,2025-12-15 12:55:37.892000445 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/2/ff,data,15092,2025-12-15 12:58:31.212000455 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ap/clap,data,860245,2025-11-25 01:29:17.283673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ap/clap_complete_command,data,10341,2025-11-25 01:29:17.287673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ap/clap_builder,data,229516,2025-11-26 18:52:38.719759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ap/clap_derive,data,73746,2025-11-26 18:52:38.719759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ap/clap_complete,data,185474,2025-11-26 18:52:38.727759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ap/clap_complete_nushell,data,24256,2025-11-26 18:52:38.727759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ap/clap_lex,data,6238,2025-11-26 18:52:39.531759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/i-/cli-table,data,9380,2025-11-26 18:52:39.527759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/ip/clipboard-win,data,39176,2025-12-15 12:57:55.968000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/cl/an/clang-sys,data,105859,2025-12-15 13:11:55.992000503 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/nf/configparser,data,7624,2025-11-25 01:29:17.287673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/ns/console,data,65284,2025-11-25 01:29:17.287673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/ns/constant_time_eq,data,6042,2025-12-15 12:57:56.444000453 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/co/ns/const-random,data,7294,2025-12-15 12:57:56.532000453 -0500,proot_home
